;accumulated_codon_frequencies;padj;log2FoldChange.shrunk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SCLT1;0.265602322;0.443608209;-0.408499034;;;4890;FALSE;High;Master Protein;Q9Y4K1;Beta/gamma crystallin domain-containing protein 1 OS=Homo sapiens OX=9606 GN=CRYBG1 PE=1 SV=3;2;2;2;2;CRYBG1;0;FALSE;;4.769;1723;188.6;5.86;5.6;2;Pf00030, Pf00652;202;;"B4DU04; hsa:202; O00296; Q5VWJ2; Q9Y4K1";;;;0;0;2.357;1.24
CEP290;0.265322581;0.96941667;-0.020657544;;;16981;FALSE;High;Master Protein;Q9P206;Uncharacterized protein KIAA1522 OS=Homo sapiens OX=9606 GN=KIAA1522 PE=1 SV=2;2;1;1;1;KIAA1522;0.004;FALSE;;2.997;1035;107;9.73;3.35;1;;57648;ENSG00000162522;"B4DQU8; B5MDY0; C9JH84; hsa:57648; Q8TCQ0; Q9P206";;;;0;0;2.32;1.21
GPATCH11;0.265151515;0.869152621;-0.083352478;;;;FALSE;High;Master Protein;P04264;Keratin, type II cytoskeletal 1 OS=Homo sapiens OX=9606 GN=KRT1 PE=1 SV=6;50;74;33;25;KRT1;0;TRUE;;228.052;644;66;8.12;226.33;33;Pf00038, Pf16208, Pf16210;3848;ENSG00000167768;"B2RA01; hsa:3848; P04264; P85925; P86104; Q14720; Q6GSJ0; Q9H298";;Corticotropin-releasing hormone signaling pathway;"Formation of the cornified envelope; Neutrophil degranulation";4;7;2.263;1.18
FAM133A;0.265060241;0.363798166;1.195071471;;;8968;FALSE;High;Master Protein;Q8IVF2;Protein AHNAK2 OS=Homo sapiens OX=9606 GN=AHNAK2 PE=1 SV=2;13;34;27;27;AHNAK2;0;FALSE;;103.085;5795;616.2;5.36;93.47;27;;113146;ENSG00000185567;"hsa:113146; Q5BKX7; Q7Z343; Q7Z358; Q7Z394; Q7Z3G0; Q86WQ6; Q8IVF2; Q8IYY1; Q8N3G4; Q96EX9";Salmonella infection;;;1;0;2.225;1.15
BBIP1;0.264705882;0.752501806;-0.104604858;;;18155;FALSE;High;Master Protein;C9J798;Ras GTPase-activating protein 4B OS=Homo sapiens OX=9606 GN=RASA4B PE=3 SV=2;1;1;1;1;RASA4B;0;FALSE;;5.37;803;90.4;7.74;3.09;1;Pf00168, Pf00169, Pf00616, Pf00779;;ENSG00000170667;C9J798;;Ras signaling;;1;0;2.205;1.14
CCDC112;0.264150943;;;;;17755;FALSE;High;Master Protein Candidate;O43374;Ras GTPase-activating protein 4 OS=Homo sapiens OX=9606 GN=RASA4 PE=2 SV=2;1;1;1;1;RASA4;0;FALSE;;5.37;803;90.4;7.83;3.09;1;Pf00168, Pf00169, Pf00616, Pf00779;10156;ENSG00000105808;"hsa:10156; O43374; O60286; Q14CQ4; Q86UW3; Q96QU0";Ras signaling pathway;Ras signaling;Regulation of RAS by GAPs;3;0;2.205;1.14
CCDC18;0.263846154;;;;;5443;FALSE;High;Master Protein;P17096;High mobility group protein HMG-I/HMG-Y OS=Homo sapiens OX=9606 GN=HMGA1 PE=1 SV=3;31;5;4;4;HMGA1;0;FALSE;;15.339;107;11.7;10.32;19.25;4;;3159;ENSG00000137309;"hsa:3159; P10910; P17096; Q5T6U9; Q9UKB0";;"Adipogenesis; Pre-implantation embryo; Male infertility; 7q11.23 copy number variation syndrome; NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence";"Vpr-mediated nuclear import of PICs; 2-LTR circle formation; Integration of viral DNA into host genomic DNA; Autointegration results in viral DNA circles; APOBEC3G mediated resistance to HIV-1 infection; Formation of Senescence-Associated Heterochromatin Foci (SAHF)";12;0;2.184;1.13
SSB;0.261613692;;;;;6772;FALSE;High;Master Protein;Q96DH6;RNA-binding protein Musashi homolog 2 OS=Homo sapiens OX=9606 GN=MSI2 PE=1 SV=1;5;1;1;1;MSI2;0.002;FALSE;;3.343;328;35.2;8.48;3.85;1;Pf00076;124540;ENSG00000153944;"hsa:124540; Q7Z6M7; Q8N9T4; Q96DH6";mRNA surveillance pathway;;RHOBTB2 GTPase cycle;2;0;2.166;1.12
NSRP1;0.26118068;;;;;6881;FALSE;High;Master Protein;Q8NFX7;Syntaxin-binding protein 6 OS=Homo sapiens OX=9606 GN=STXBP6 PE=1 SV=2;4;1;1;1;STXBP6;0;FALSE;;4.541;210;23.5;9.04;2.41;1;Pf00957, Pf15277;29091;ENSG00000168952;"D3DS78; hsa:29091; Q8N3H1; Q8N8D5; Q8NFX7; Q96GF3; Q9P008";;;;0;0;2.155;1.11
HMMR;0.260689655;;;;0.118329466;3955;FALSE;High;Master Protein;Q8IV20;Purine nucleoside phosphorylase LACC1 OS=Homo sapiens OX=9606 GN=LACC1 PE=1 SV=1;5;1;1;1;LACC1;0.003;FALSE;;3.077;430;47.7;7.06;4.65;1;Pf02578;144811;ENSG00000179630;"A2A3Z6; hsa:144811; Q8IV20; Q8N8X5";"Purine metabolism; Cysteine and methionine metabolism; Metabolic pathways; Nucleotide metabolism";;;4;0;2.097;1.07
HMGN3;0.26;;;;;8591;FALSE;High;Master Protein;P07093;Glia-derived nexin OS=Homo sapiens OX=9606 GN=SERPINE2 PE=1 SV=1;34;25;13;13;SERPINE2;0;FALSE;;75.071;398;44;9.29;72.66;13;Pf00079;5270;ENSG00000135919;"B2R6A4; B4DIF2; hsa:5270; P07093; Q53S15; Q5D0C4";Complement and coagulation cascades;;"Intrinsic Pathway of Fibrin Clot Formation; Common Pathway of Fibrin Clot Formation; Dissolution of Fibrin Clot";4;0;2.048;1.03
HEMGN;0.259793814;;;;;;FALSE;High;Master Protein;P08729;Keratin, type II cytoskeletal 7 OS=Homo sapiens OX=9606 GN=KRT7 PE=1 SV=5;64;87;30;22;KRT7;0;TRUE;;173.505;469;51.4;5.48;254.48;30;Pf00038, Pf16208;3855;ENSG00000135480;"hsa:3855; P08729; Q92676; Q9BUD8; Q9Y3R7";;;Formation of the cornified envelope;2;2;2.045;1.03
NANOGNB;0.259259259;;;;;;FALSE;High;None;269;269;73;23;8;8;KRT7;0;TRUE;;53.742;132;15;4.82;83.78;8;Pf00038;;;Q3KNV1;;;;0;0;2.038;1.03
CCDC152;0.258823529;;;;;9733;FALSE;High;None;P35558;Phosphoenolpyruvate carboxykinase, cytosolic [GTP] OS=Homo sapiens OX=9606 GN=PCK1 PE=1 SV=3;4;5;3;3;PCK1;0;FALSE;;26.024;622;69.2;6.14;22.03;3;Pf00821, Pf17297;5105;ENSG00000124253;"A8K437; B4DT64; hsa:5105; P35558; Q8TCA3; Q9UJD2";"Glycolysis / Gluconeogenesis; Citrate cycle (TCA cycle); Pyruvate metabolism; Metabolic pathways; PPAR signaling pathway; FoxO signaling pathway; PI3K-Akt signaling pathway; AMPK signaling pathway; Insulin signaling pathway; Adipocytokine signaling pathway; Glucagon signaling pathway; Insulin resistance; Proximal tubule bicarbonate reclamation";"Adipogenesis; TCA cycle and deficiency of pyruvate dehydrogenase complex (PDHc); Estrogen receptor pathway; Nuclear receptors meta-pathway; Angiopoietin-like protein 8 regulatory pathway; Amino acid metabolism; PPAR signaling pathway; PI3K-Akt signaling pathway; Glycolysis and gluconeogenesis";"Gluconeogenesis; Transcriptional regulation of white adipocyte differentiation; FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes; Abacavir metabolism; NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis";27;0;2.041;1.03
MEIG1;0.258426966;;;;;18243;FALSE;High;Master Protein;O14558;Heat shock protein beta-6 OS=Homo sapiens OX=9606 GN=HSPB6 PE=1 SV=2;30;9;3;3;HSPB6;0;FALSE;;24.713;160;17.1;6.4;28.55;3;Pf00011, Pf00525;126393;ENSG00000004776;"hsa:126393; O14551; O14558; Q6NVI3; Q96MG9";;;;0;0;2.023;1.02
FAM9A;0.258258258;;;;;;FALSE;High;None;124;124;3;14;3;0;Krt4;0;TRUE;;12.106;525;56.2;8.15;35.15;3;Pf00038, Pf16208;16682;ENSMUSG00000059668;"A6H6D6; mmu:16682; P07744; Q6P3F5";;;Formation of the cornified envelope;2;0;1.994;1
CCDC160;0.257668712;;;;;;FALSE;High;None;Q9NSB2;Keratin, type II cuticular Hb4 OS=Homo sapiens OX=9606 GN=KRT84 PE=2 SV=2;4;18;4;0;KRT84;0;TRUE;;14.601;600;64.8;7.56;45.71;4;Pf00038, Pf16208;3890;ENSG00000161849;"B2RA43; hsa:3890; Q6ISB0; Q701L6; Q9NSB2";;;Formation of the cornified envelope;2;0;1.994;1
PPIG;0.256953642;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GNG11;0.256756757;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM9B;0.256684492;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC59;0.256198347;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
EEA1;0.255665722;;;;;8500;average;0.076341539;;;8 of 19;;;;;;;;;;;;;;;;;;;;;;;;;
MAP9;0.25462963;;;;;;median;0.067510549;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CENPE;0.254626203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
C1orf21;0.254098361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PIBF1;0.253298153;;;;0.142684401;HIF1A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC34;0.251336898;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FRA10AC1;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LUC7L3;0.248979592;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GCC2;0.248071217;;;;;12232;CCND2;475.2894724;6.564140803;1.101955466;5.956811328;2.57E-09;6.52E-07;4.802592386;up;;;;;;;;;;;;;;;;;;;;;
RSRC1;0.247761194;;;;;7570;SLC16A9;107.5517432;4.52726845;0.505182089;8.961656699;3.20E-19;1.01E-15;4.009146795;up;;;;;;;;;;;;;;;;;;;;;
DNAJC2;0.247588424;;;;;17635;SHISA2;67.01358332;4.614944307;0.756915939;6.097036763;1.08E-09;3.14E-07;3.818862446;up;;;;;;;;;;;;;;;;;;;;;
ODF2L;0.246621622;;;;;15912;MEST;856.3454951;4.565292701;0.838733247;5.443080641;5.24E-08;9.25E-06;3.668561379;up;;;;;;;;;;;;;;;;;;;;;
DEUP1;0.244628099;;;;;;LOC284344;13.26141755;4.759756021;0.932329962;5.10522692;3.30E-07;4.44E-05;3.554471473;up;;;;;;;;;;;;;;;;;;;;;
CBX3;0.244565217;;;;;11725;LHX9;644.367818;4.855780331;1.054929979;4.602940885;4.17E-06;0.00031263;3.502758046;up;;;;;;;;;;;;;;;;;;;;;
PFDN4;0.244444444;;;;;2900;NCKAP5;255.4701992;3.921177426;0.62374387;6.286518577;3.25E-10;1.13E-07;3.451528674;up;;;;;;;;;;;;;;;;;;;;;
CETN3;0.244047619;;;;;2285;NAP1L2;31.41077864;4.696767066;1.016346329;4.62122697;3.81E-06;0.000291015;3.419009856;up;;;;;;;;;;;;;;;;;;;;;
AKAP9;0.243602866;;;;;12423;CLDN1;25.49290107;4.055594938;0.775721471;5.228158672;1.71E-07;2.64E-05;3.408136912;up;;;;;;;;;;;;;;;;;;;;;
GOLGA4;0.243315508;;;;;8699;NTN4;9455.554281;3.600173485;0.603167698;5.968777003;2.39E-09;6.16E-07;3.32791148;up;;;;;;;;;;;;;;;;;;;;;
CMC1;0.242990654;;;;;5619;PTPRZ1;22.66312763;4.774421818;1.112276829;4.292476202;1.77E-05;0.001047814;3.316604096;up;;;;;;;;;;;;;;;;;;;;;
UPF3B;0.242038217;;;;;11961;LANCL3;10.76921867;6.72599554;1.913562598;3.514907507;0.000439907;0.011939795;3.279891518;up;;;;;;;;;;;;;;;;;;;;;
LARP7;0.241852487;;;;;;PART1;17.19363161;4.766498812;1.170644299;4.071688398;4.67E-05;0.00228497;3.227940409;up;;;;;;;;;;;;;;;;;;;;;
EIF5B;0.241605242;;;;;1147;LRRC17;84.75626928;4.208238732;0.904952879;4.650229675;3.32E-06;0.000259231;3.206986533;up;;;;;;;;;;;;;;;;;;;;;
RGS18;0.241525424;;;;;;CNTNAP2;85.90627932;5.376174645;1.514554593;3.549673726;0.000385709;0.010901825;3.159737574;up;;;;;;;;;;;;;;;;;;;;;
RSRC2;0.24137931;;;;;7357;COL4A5;406.9743306;3.764540711;0.840970627;4.476423537;7.59E-06;0.000534901;3.144846414;up;;;;;;;;;;;;;;;;;;;;;
CCDC186;0.240266963;;;;;11687;SLITRK1;7.02671916;4.316543119;1.039593676;4.152144459;3.29E-05;0.001692415;3.1325405;up;;;;;;;;;;;;;;;;;;;;;
SEMG2;0.240137221;;;;;8005;CPA4;496.6647388;3.576199319;0.615283524;5.812278698;6.16E-09;1.45E-06;3.074406195;up;;;;;;;;;;;;;;;;;;;;;
CCDC91;0.239819005;;;;;15676;HOXB13;43.82681288;4.758021807;1.321007729;3.60181224;0.000316007;0.009282324;3.044453409;up;;;;;;;;;;;;;;;;;;;;;
LRRCC1;0.23910939;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF675;0.239015817;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SVBP;0.23880597;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LLPH;0.238461538;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HMGN1;0.237623762;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUCB2;0.237529691;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GKAP1;0.237057221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEP135;0.235758107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NDUFAF2;0.235294118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CEP162;0.235042735;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC110;0.23501199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LCA5;0.23495702;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM133B;0.233870968;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC39;0.233545648;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM9C;0.233532934;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MND1;0.233009709;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZC3H8;0.232876712;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC88A;0.232646421;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RBM25;0.232227488;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC175;0.231738035;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC148;0.231418919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SVIP;0.230769231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CIR1;0.23059867;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF730;0.23015873;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC146;0.230125523;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF678;0.230038023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TEX9;0.229591837;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CYLC2;0.229226361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC68;0.229166667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SEMG1;0.228941685;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TCEAL9;0.228571429;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNAJC8;0.228346457;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PSIP1;0.22787194;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM240B;0.227848101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC102B;0.227626459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC38;0.226950355;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC7;0.226551227;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ESF1;0.226525822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC178;0.226506024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ARGLU1;0.226277372;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANKRD40CL;0.226086957;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IFT81;0.225997046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC181;0.225933202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
KIF20B;0.225154408;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF92;0.224872232;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITGB3BP;0.224719101;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FGFR1OP2;0.224409449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TRIP11;0.224242424;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CWC27;0.22410148;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LRRIQ3;0.224;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MIPOL1;0.223476298;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PTMS;0.223300971;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF85;0.223154362;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF99;0.223121387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DNAAF4;0.222513089;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TIMM9;0.222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMSB4Y;0.222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TMSB4X;0.222222222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CFAP36;0.221574344;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANKRD26;0.22150789;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NUCKS1;0.221311475;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LOC122319696;0.221052632;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ANKRD12;0.221037324;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF43;0.221001221;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FAM184A;0.220858896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC73;0.22037037;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SMIM11;0.220338983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CCDC82;0.220183486;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MPHOSPH10;0.219941349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RSL24D1;0.219512195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DUXA;0.219512195;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF729;0.219473264;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SPDL1;0.219471947;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZNF493;0.219354839;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
